,y_pred
1159,1
1160,1
1161,1
1162,2
1163,1
1164,2
1165,2
1166,2
1167,2
1168,1
1169,1
1170,1
1171,1
1172,2
1173,2
1174,1
1175,1
1176,1
1177,2
1178,1
1179,1
1180,2
1181,2
1182,1
1183,0
1184,1
1185,2
1186,2
1187,1
1188,2
1189,1
1190,2
1191,1
1192,1
1193,4
1194,1
1195,1
1196,1
1197,2
1198,2
1199,1
1200,1
1201,1
1202,4
1203,4
1204,4
1205,4
1206,4
1207,4
1208,4
1209,4
1210,4
1211,4
1212,4
1213,4
1214,4
1215,4
1216,4
1217,4
1218,4
1219,4
1220,4
1221,4
1222,4
1223,4
1224,4
1225,4
1226,4
1227,4
1228,4
1229,4
1230,4
1231,4
1232,4
1233,4
1234,4
1235,4
1236,4
1237,4
1238,4
1239,4
1240,4
1241,4
1242,1
1243,4
1244,4
1245,4
1246,4
1247,4
1248,4
1249,4
1250,4
1251,4
1252,4
1253,4
1254,4
1255,4
1256,4
1257,4
1258,4
1259,4
1260,4
1261,4
1262,4
1263,4
1264,0
1265,2
1266,2
1267,2
1268,0
1269,0
1270,0
1271,2
1272,0
1273,2
1274,2
1275,2
1276,2
1277,2
1278,2
1279,0
1280,2
1281,2
1282,0
1283,0
1284,2
1285,2
1286,0
1287,2
1288,0
1289,2
1290,2
1291,2
1292,2
1293,2
1294,2
1295,2
1296,2
1297,2
1298,2
1299,2
1300,0
1301,2
1302,0
1303,0
1304,2
1305,0
1306,2
1307,2
1308,2
1309,2
1310,0
1311,2
1312,2
1313,0
1314,2
1315,0
1316,2
1317,0
1318,0
1319,2
1320,0
1321,2
1322,2
1323,2
1324,2
1325,2
1326,2
1327,2
1328,2
1329,2
1330,2
1331,2
1332,2
1333,2
1334,2
1335,2
1336,2
1337,2
1338,0
1339,2
1340,2
1341,2
1342,0
1343,2
1344,2
1345,2
1346,2
1347,2
1348,2
1349,2
1350,2
1351,2
1352,2
1353,2
1354,2
1355,0
1356,2
1357,2
1358,2
1359,2
1360,2
1361,2
1362,2
1363,2
1364,2
1365,2
1366,2
1367,2
1368,2
1369,2
1370,2
1371,2
1372,2
1373,2
1374,2
1375,2
1376,2
1377,2
1378,2
1379,2
1380,2
1381,0
1382,2
1383,2
1384,2
1385,2
1386,2
1387,2
1388,2
1389,2
1390,2
1391,2
1392,2
1393,2
1394,2
1395,2
1396,2
1397,2
1398,2
1399,2
1400,2
1401,2
1402,2
1403,2
1404,2
1405,2
1406,2
1407,2
1408,2
1409,2
1410,2
1411,2
1412,2
1413,2
1414,2
1415,2
1416,2
1417,2
1418,2
1419,2
1420,2
1421,2
1422,2
1423,2
1424,2
1425,2
1426,2
1427,2
1428,2
1429,2
1430,2
1431,2
1432,2
1433,2
1434,2
1435,2
1436,2
1437,2
1438,2
1439,2
1440,2
1441,2
1442,2
1443,2
1444,2
1445,2
1446,2
1447,2
1448,3
1449,2
1450,2
1451,3
1452,2
1453,2
1454,2
1455,2
1456,2
1457,2
1458,2
1459,2
1460,2
1461,2
1462,2
1463,2
1464,0
1465,2
1466,2
1467,2
1468,2
1469,2
1470,2
1471,2
1472,0
1473,2
1474,2
1475,2
1476,2
1477,2
1478,2
1479,2
1480,2
1481,2
1482,2
1483,2
1484,2
1485,2
1486,2
1487,2
1488,3
1489,2
1490,2
1491,2
1492,2
1493,2
1494,2
1495,3
1496,2
1497,2
1498,2
1499,2
1500,2
1501,2
1502,0
1503,2
1504,2
1505,2
1506,4
1507,2
1508,2
1509,2
1510,2
1511,2
1512,4
1513,3
1514,2
1515,3
1516,2
1517,4
1518,3
1519,4
1520,4
1521,2
1522,2
1523,2
1524,2
1525,4
1526,2
1527,4
1528,3
1529,2
1530,4
1531,3
1532,3
1533,4
1534,3
1535,2
1536,3
1537,2
1538,2
1539,1
1540,2
1541,4
1542,3
1543,2
1544,2
1545,2
1546,2
1547,2
1548,3
1549,3
1550,3
1551,2
1552,3
1553,4
1554,2
1555,2
1556,2
1557,2
1558,3
1559,2
1560,2
1561,4
1562,4
1563,2
1564,3
1565,2
1566,2
1567,2
