,y_pred
532,1
533,1
534,3
535,1
536,1
537,3
538,4
539,4
540,4
541,4
542,4
543,4
544,4
545,4
546,4
547,4
548,4
549,4
550,4
551,4
552,4
553,4
554,4
555,4
556,4
557,4
558,4
559,3
560,4
561,4
562,4
563,4
564,4
565,4
566,4
567,4
568,4
569,4
570,4
571,4
572,4
573,4
574,4
575,4
576,4
577,4
578,4
579,3
580,4
581,4
582,4
583,4
584,3
585,4
586,4
587,4
588,4
589,4
590,4
591,4
592,3
593,4
594,4
595,4
596,4
597,4
598,2
599,2
600,0
601,3
602,3
603,2
604,3
605,3
606,0
607,3
608,0
609,3
610,3
611,2
612,3
613,0
614,0
615,3
616,3
617,0
618,3
619,3
620,3
621,0
622,2
623,3
624,3
625,3
626,3
627,3
628,0
629,3
630,2
631,3
632,2
633,3
634,2
635,0
636,3
637,3
638,2
639,2
640,0
641,3
642,3
643,0
644,3
645,2
646,3
647,3
648,0
649,3
650,0
651,0
652,2
653,3
654,0
655,3
656,0
657,4
658,3
659,1
660,3
661,1
662,1
663,0
664,1
665,1
666,0
667,4
668,2
669,3
670,1
671,0
672,4
673,1
674,2
675,1
676,3
677,4
678,2
679,1
680,1
681,0
682,1
683,1
684,1
685,4
686,1
687,1
688,1
689,1
690,2
691,2
692,0
693,3
694,1
695,1
696,2
697,1
698,0
699,3
700,0
701,2
702,3
703,1
704,1
705,1
706,1
707,2
708,1
709,1
710,2
711,1
712,1
713,1
714,3
715,3
716,1
717,1
718,4
719,2
720,2
721,3
722,2
723,3
724,2
725,2
726,2
727,2
728,2
729,2
730,3
731,2
732,2
733,2
734,3
735,3
736,2
737,2
738,2
739,2
740,2
741,3
742,2
743,2
744,2
745,2
746,3
747,2
748,3
749,2
750,0
751,2
752,2
753,2
754,2
755,2
756,2
757,3
758,2
759,2
760,2
761,2
762,2
763,2
764,2
765,2
766,2
767,2
768,2
769,2
770,2
771,2
772,2
773,3
774,2
775,2
776,2
777,2
778,2
779,2
780,2
781,3
782,2
783,2
784,3
785,3
786,2
787,2
788,2
789,2
790,2
791,2
792,0
793,2
794,2
795,2
796,2
797,2
798,2
799,2
800,2
801,3
802,2
803,2
804,2
805,2
806,3
807,2
808,2
809,2
810,3
811,2
812,2
813,0
814,3
815,3
816,3
817,3
818,3
819,3
820,3
821,3
822,3
823,3
824,3
825,3
826,1
827,3
828,3
829,3
830,3
831,3
832,3
833,3
834,3
835,3
836,3
837,3
838,3
839,3
840,3
841,3
842,3
843,3
844,2
845,3
846,3
847,3
848,3
849,2
850,3
851,3
852,3
853,3
854,3
855,3
856,3
857,2
858,3
859,2
860,3
861,3
862,3
863,3
864,3
865,3
866,3
867,3
868,2
869,3
870,3
871,2
872,3
873,2
874,3
875,2
876,3
877,2
878,3
879,3
880,3
881,3
882,3
883,3
884,4
885,4
886,4
887,4
888,4
889,4
890,4
891,4
892,4
893,4
894,4
895,4
896,4
897,4
898,4
899,4
900,4
901,4
902,4
903,4
904,4
905,4
906,4
907,4
908,4
909,4
910,4
911,4
912,4
913,4
914,4
915,4
916,4
917,4
918,4
919,3
920,3
921,4
922,4
923,4
924,4
925,4
926,4
927,3
928,4
929,4
930,4
931,4
932,4
933,4
934,4
935,4
936,4
937,4
938,4
939,4
940,4
941,4
942,4
943,4
944,4
945,4
946,4
947,4
948,4
949,3
950,4
951,4
952,4
953,4
954,4
955,4
956,4
957,3
958,4
959,4
960,0
961,4
962,0
963,0
964,2
965,0
966,2
967,0
968,0
969,0
970,0
971,0
972,2
973,4
974,0
975,0
976,0
977,0
978,2
979,0
980,0
981,2
982,0
983,0
984,2
985,0
986,0
987,2
988,0
989,0
990,0
991,2
992,2
993,0
994,0
995,2
996,2
997,0
998,0
999,0
1000,0
1001,2
1002,0
1003,2
1004,0
1005,2
1006,2
1007,2
1008,4
1009,0
1010,2
1011,2
1012,0
1013,2
1014,2
1015,2
1016,2
1017,0
1018,2
1019,4
1020,4
1021,4
1022,4
1023,4
1024,4
1025,4
1026,4
1027,4
1028,4
1029,4
1030,4
1031,4
1032,1
1033,4
1034,4
1035,4
1036,4
1037,4
1038,4
1039,4
1040,4
1041,4
1042,4
1043,4
1044,4
1045,4
1046,4
1047,4
1048,4
1049,4
1050,4
1051,4
1052,4
1053,4
1054,4
1055,4
1056,4
1057,4
1058,4
1059,4
1060,4
1061,4
1062,4
1063,4
1064,4
1065,4
1066,2
1067,4
1068,4
1069,1
1070,4
1071,4
1072,4
1073,4
1074,4
1075,4
1076,4
1077,4
1078,4
1079,4
1080,4
1081,4
1082,4
1083,1
1084,4
1085,4
1086,2
1087,4
1088,2
1089,4
1090,4
1091,4
1092,0
1093,1
1094,4
1095,2
1096,2
1097,1
1098,1
1099,2
1100,2
1101,2
1102,2
1103,0
1104,1
1105,2
1106,4
1107,4
1108,4
1109,4
1110,2
1111,4
1112,2
1113,2
1114,2
1115,4
1116,2
1117,0
1118,4
1119,1
1120,2
1121,4
1122,2
1123,2
1124,4
1125,4
1126,1
1127,4
1128,0
1129,2
1130,1
1131,2
1132,4
1133,2
1134,4
1135,4
1136,4
1137,4
1138,2
1139,4
1140,1
1141,4
1142,4
1143,4
1144,4
1145,1
1146,1
1147,4
1148,4
1149,4
1150,1
1151,1
1152,4
1153,4
1154,1
1155,4
1156,1
1157,4
1158,4
1159,1
1160,1
1161,1
1162,4
1163,4
1164,4
1165,2
1166,1
1167,4
1168,1
1169,1
1170,4
1171,4
1172,1
1173,1
1174,1
1175,4
1176,1
1177,4
1178,1
1179,4
1180,1
1181,2
1182,0
1183,4
1184,4
1185,1
1186,4
1187,4
1188,1
1189,1
1190,4
1191,2
1192,1
1193,1
1194,4
1195,1
1196,4
1197,1
1198,4
1199,4
1200,4
1201,1
1202,4
1203,4
1204,4
1205,4
1206,4
1207,4
1208,4
1209,4
1210,4
1211,4
1212,4
1213,4
1214,4
1215,4
1216,4
1217,4
1218,4
1219,4
1220,4
1221,4
1222,4
1223,4
1224,4
1225,4
1226,4
1227,4
1228,4
1229,4
1230,4
1231,4
1232,4
1233,4
1234,4
1235,4
1236,4
1237,4
1238,4
1239,4
1240,4
1241,4
1242,4
1243,4
1244,4
1245,4
1246,4
1247,4
1248,4
1249,4
1250,4
1251,4
1252,4
1253,4
1254,4
1255,4
1256,4
1257,4
1258,4
1259,4
1260,4
1261,4
1262,4
1263,4
1264,0
1265,2
1266,2
1267,2
1268,0
1269,0
1270,0
1271,2
1272,2
1273,0
1274,2
1275,2
1276,0
1277,2
1278,2
1279,0
1280,2
1281,0
1282,0
1283,0
1284,2
1285,2
1286,0
1287,2
1288,0
1289,2
1290,0
1291,0
1292,0
1293,2
1294,2
1295,2
1296,2
1297,2
1298,2
1299,2
1300,0
1301,2
1302,0
1303,0
1304,2
1305,2
1306,2
1307,2
1308,0
1309,2
1310,2
1311,0
1312,2
1313,2
1314,2
1315,0
1316,2
1317,0
1318,0
1319,0
1320,0
1321,2
1322,2
1323,1
1324,2
1325,1
1326,2
1327,2
1328,2
1329,2
1330,2
1331,2
1332,2
1333,2
1334,2
1335,2
1336,2
1337,2
1338,2
1339,2
1340,2
1341,2
1342,1
1343,2
1344,2
1345,2
1346,2
1347,2
1348,1
1349,2
1350,2
1351,2
1352,2
1353,2
1354,2
1355,2
1356,2
1357,2
1358,2
1359,2
1360,2
1361,2
1362,2
1363,2
1364,2
1365,2
1366,2
1367,2
1368,2
1369,2
1370,0
1371,2
1372,2
1373,2
1374,2
1375,2
1376,2
1377,2
1378,2
1379,1
1380,2
1381,2
1382,2
1383,2
1384,1
1385,2
1386,2
1387,2
1388,2
1389,2
1390,2
1391,2
1392,2
1393,2
1394,2
1395,2
1396,2
1397,2
1398,2
1399,2
1400,2
1401,2
1402,2
1403,2
1404,2
1405,2
1406,2
1407,2
1408,2
1409,2
1410,2
1411,2
1412,2
1413,2
1414,2
1415,2
1416,2
1417,2
1418,2
1419,2
1420,2
1421,2
1422,2
1423,2
1424,2
1425,2
1426,2
1427,2
1428,2
1429,2
1430,2
1431,2
1432,2
1433,2
1434,2
1435,2
1436,2
1437,2
1438,2
1439,2
1440,2
1441,2
1442,2
1443,2
1444,3
1445,2
1446,2
1447,2
1448,3
1449,2
1450,2
1451,0
1452,2
1453,2
1454,2
1455,2
1456,2
1457,2
1458,3
1459,2
1460,2
1461,2
1462,2
1463,0
1464,3
1465,2
1466,2
1467,2
1468,2
1469,2
1470,2
1471,3
1472,0
1473,0
1474,2
1475,2
1476,3
1477,2
1478,2
1479,2
1480,0
1481,3
1482,2
1483,3
1484,2
1485,0
1486,2
1487,2
1488,3
1489,2
1490,2
1491,2
1492,2
1493,2
1494,2
1495,3
1496,2
1497,3
1498,2
1499,2
1500,2
1501,2
1502,0
1503,2
1504,0
1505,2
1506,4
1507,2
1508,4
1509,4
1510,4
1511,4
1512,4
1513,4
1514,1
1515,4
1516,2
1517,4
1518,4
1519,4
1520,4
1521,4
1522,4
1523,4
1524,4
1525,4
1526,4
1527,4
1528,4
1529,4
1530,4
1531,4
1532,4
1533,4
1534,4
1535,2
1536,4
1537,1
1538,4
1539,4
1540,4
1541,4
1542,4
1543,4
1544,4
1545,4
1546,4
1547,2
1548,4
1549,4
1550,4
1551,2
1552,4
1553,4
1554,1
1555,2
1556,4
1557,4
1558,4
1559,4
1560,2
1561,4
1562,4
1563,4
1564,4
1565,4
1566,4
1567,4
